"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"18","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-13,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-12,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-11,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-10,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-09,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-08,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-07,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-06,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-05,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-04,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-03,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-02,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-06-01,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"21","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"22","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"23","N/A","N/A","N/A","N/A",2015-05-31,"DMIL",38.88,-75.44
"0","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"1","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"2","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"3","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"4","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"5","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"6","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"7","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"8","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"9","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"10","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"11","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"12","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"13","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"14","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"15","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"16","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"17","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"18","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"19","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
"20","N/A","N/A","N/A","N/A",2015-05-30,"DMIL",38.88,-75.44
